experiment,hour,date_of_week,device_make,browser
0,14,4,10,1
1,15,2,10,1
0,15,4,15,0
1,14,4,10,1
0,15,4,65,7
1,9,4,65,7
0,15,4,10,1
0,14,3,10,1
0,15,4,10,1
0,1,4,30,4
1,7,4,59,2
1,3,4,10,1
1,8,0,63,2
1,19,5,62,7
0,11,5,63,7
0,3,5,10,1
1,0,2,10,1
0,12,4,48,2
0,3,5,83,7
1,10,5,0,2
1,9,3,10,2
1,20,2,10,1
1,6,3,10,1
0,8,6,62,7
1,3,0,10,1
1,10,3,10,1
1,6,5,10,2
1,19,2,65,2
0,11,4,10,1
0,6,4,69,2
1,10,0,63,2
1,8,6,10,1
0,4,4,10,1
1,13,4,10,2
1,4,4,61,2
0,15,4,10,1
0,2,3,10,1
0,16,3,91,4
1,11,6,10,1
1,15,4,10,1
1,15,2,10,1
0,3,4,77,2
0,15,4,78,7
1,11,4,10,1
0,7,5,61,7
0,15,4,10,1
0,19,4,109,5
1,16,2,39,2
0,2,4,10,1
1,8,5,83,7
0,15,4,10,1
0,9,4,10,1
0,3,4,10,1
0,15,4,10,1
0,15,4,63,4
0,15,4,61,7
1,18,3,10,1
0,22,3,10,2
1,7,6,35,2
1,3,6,63,2
1,1,4,49,2
1,14,4,10,4
0,20,2,10,1
0,15,4,10,1
1,22,2,10,1
0,15,4,10,1
0,15,4,10,1
1,16,3,72,2
0,6,1,10,1
1,5,6,63,2
0,15,4,38,7
0,15,4,78,7
1,0,6,10,1
1,8,6,65,7
0,15,4,10,1
1,9,3,10,1
1,11,4,38,7
1,14,3,10,1
0,15,4,10,1
1,6,4,24,2
0,12,5,10,1
0,19,3,93,4
1,10,5,10,1
1,18,2,63,2
1,12,4,100,4
1,8,4,41,2
0,15,4,10,1
0,15,4,10,1
1,20,3,10,1
1,13,4,53,2
0,3,0,23,1
1,7,3,74,4
1,11,4,10,4
1,0,3,42,7
1,19,2,10,1
1,22,3,10,1
1,18,2,63,2
1,8,4,10,1
1,15,3,10,2
1,6,4,10,1
0,15,4,10,1
1,17,3,44,7
0,10,1,19,2
1,17,2,10,1
0,5,6,10,1
0,15,4,109,6
0,15,4,10,1
1,4,4,90,2
1,13,6,63,2
0,8,1,10,2
1,16,2,10,1
1,15,5,10,1
0,10,4,107,4
1,4,3,40,2
0,15,4,106,2
1,10,3,64,7
0,15,4,65,4
0,15,4,18,1
1,4,4,10,1
0,16,1,30,4
0,15,4,10,1
0,15,4,10,1
1,3,6,109,5
0,4,6,65,4
0,15,4,30,4
0,15,4,10,1
1,17,3,10,1
0,15,4,10,1
0,15,4,10,1
1,0,3,51,7
1,4,6,10,1
0,15,4,10,1
1,13,2,10,1
1,6,4,51,7
1,6,0,10,1
1,4,0,10,1
1,7,4,10,1
0,1,3,17,1
0,22,2,69,4
0,15,4,10,1
0,15,4,10,1
0,5,5,10,1
1,5,3,10,1
0,12,4,0,4
0,15,4,10,1
1,5,4,66,2
1,19,2,10,1
0,15,4,47,2
0,13,4,69,7
0,15,4,10,1
1,9,3,10,1
0,1,4,10,1
0,15,4,10,1
1,20,1,44,2
1,9,4,10,1
0,15,4,0,4
1,14,1,10,1
1,16,3,10,1
1,9,4,10,1
0,7,1,23,1
0,15,4,61,7
1,10,4,10,1
1,9,0,10,1
0,7,1,44,7
1,18,6,10,1
1,18,2,67,4
1,10,5,18,1
0,15,4,10,1
1,20,5,10,1
1,0,1,22,2
1,9,4,10,4
1,4,5,10,1
1,8,4,10,1
1,10,1,10,1
0,17,6,10,1
1,5,4,10,2
0,14,5,10,1
1,14,4,90,7
1,16,2,66,2
1,16,2,10,1
0,15,2,10,1
0,18,2,10,1
0,15,4,10,1
1,13,3,10,1
0,8,6,57,7
0,12,3,10,1
1,12,3,10,1
1,20,2,10,1
0,20,5,68,4
1,5,5,65,2
1,7,4,10,2
0,18,6,65,4
0,15,4,10,1
0,3,2,48,7
1,13,3,34,2
0,15,4,20,4
0,15,4,39,7
0,9,3,109,5
1,3,3,85,4
0,5,4,10,1
1,20,2,10,1
0,4,4,10,1
